Name,Year,Theme,Pieces,USD_MSRP,Current_Price
Family House,2017,Duplo,69.0,39.99,79.0
Santa's Winter Holiday,2017,Duplo,45.0,29.99,47.3489
Shooting Gallery,2017,Duplo,32.0,24.99,22.455
Batcave Challenge,2017,Duplo,73.0,49.99,133.0
My First Number Train,2017,Duplo,23.0,19.99,19.755
My First Plane,2017,Duplo,10.0,4.99,5.0
My First Birthday Cake,2017,Duplo,8.0,4.99,5.841
My First Bus,2017,Duplo,6.0,4.99,4.5
My First Parrot,2017,Duplo,7.0,4.99,5.0
Mater's Shed,2017,Duplo,23.0,19.99,40.0
Boost Creative Toolbox,2017,Boost,843.0,159.99,150.0
Sydney,2017,Architecture,361.0,29.99,168.2526
Chicago,2017,Architecture,444.0,39.99,205.99
London,2017,Architecture,468.0,39.99,32.0
Solomon R. Guggenheim Museum,2017,Architecture,744.0,79.99,132.0
Arc de Triomphe,2017,Architecture,386.0,39.99,98.5
The Mushroom Island,2017,Minecraft,247.0,19.99,60.4
The Nether Railway,2017,Minecraft,387.0,29.99,67.1043
The Ice Spikes,2017,Minecraft,454.0,39.99,123.25
The Witch Hut,2017,Minecraft,502.0,59.99,155.0
The Waterfall Base,2017,Minecraft,729.0,69.99,98.0
The Crafting Box 2.0,2017,Minecraft,717.0,59.99,85.0
The Ocean Monument,2017,Minecraft,1122.0,119.99,199.9173
The Mountain Cave,2017,Minecraft,2863.0,249.99,1300.0
Adventure Time,2017,Ideas,495.0,49.99,73.0
NASA Apollo Saturn V,2017,Ideas,1969.0,119.99,175.0
Old Fishing Store,2017,Ideas,2049.0,149.99,499.9
Women of NASA,2017,Ideas,231.0,24.99,39.99
Disco Batman - Tears of Batman ,2017,The LEGO Batman Movie,13.0,3.99,18.392
Blue Express ,2017,Creator,71.0,4.99,15.0
Red Racer,2017,Creator,72.0,4.99,6.25
Green Cruiser,2017,Creator,122.0,9.99,14.0
Air Blazer,2017,Creator,102.0,9.99,15.99
Mighty Dinosaurs,2017,Creator,174.0,14.99,10.0
Sunset Street Bike,2017,Creator,194.0,19.99,16.5
Airshow Aces,2017,Creator,246.0,19.99,21.9
Robo Explorer,2017,Creator,205.0,19.99,20.0
Beachside Vacation,2017,Creator,275.0,29.99,25.0
Island Adventures,2017,Creator,359.0,34.99,35.0
Park Street Townhouse,2017,Creator,566.0,49.99,74.6551
Space Shuttle Explorer,2017,Creator,285.0,29.99,32.0
Modular Poolside Holiday,2017,Creator,356.0,29.99,41.99
Modular Modern Home,2017,Creator,386.0,29.99,43.7547
Modular Family Villa,2017,Creator,728.0,69.99,99.0
Turbo Track Racer,2017,Creator,664.0,59.99,69.99
Build My City Accessory Set,2017,City,100.0,9.99,20.0
LEGO Chess,2017,Miscellaneous,1450.0,64.99,65.0
Romantic Valentine Picnic,2017,Seasonal,126.0,9.99,22.0
Easter Egg Hunt,2017,Seasonal,145.0,9.99,11.99
Halloween Haunt,2017,Seasonal,145.0,9.99,38.5
Christmas Train Ride,2017,Seasonal,169.0,9.99,16.5893
Christmas Town Square,2017,Seasonal,179.0,9.99,34.97
Build My Heartlake City Accessory Set,2017,Friends,121.0,9.99,14.0
Mini Keepsake Box,2017,Friends,105.0,5.99,4.99
Berry's Kitchen,2017,Disney,61.0,5.99,10.4405
Ariel and the Magical Spell,2017,Disney,222.0,29.99,56.99
Cinderella's Enchanted Evening,2017,Disney,350.0,39.99,25.0
Elsa's Magical Ice Palace,2017,Disney,701.0,79.99,49.99
Moana's Island Adventure,2017,Disney,205.0,24.99,40.0
Moana's Ocean Voyage,2017,Disney,307.0,39.99,66.1175
The Capture of Sophie Jones,2017,Elves,226.0,19.99,24.99
The Goblin King's Evil Dragon,2017,Elves,339.0,29.99,83.8953
Aira's Airship & the Amulet Chase,2017,Elves,343.0,39.99,57.5
Magic Rescue from the Goblin Village,2017,Elves,637.0,59.99,103.0398
Rosalyn's Healing Hideout,2017,Elves,460.0,49.99,115.0
Breakout from the Goblin King's Fortress,2017,Elves,695.0,69.99,60.0
Batgirl Batjet Chase,2017,DC Super Hero Girls,206.0,24.99,21.95
Harley Quinn to the Rescue,2017,DC Super Hero Girls,217.0,29.99,23.992
Lashina Tank,2017,DC Super Hero Girls,145.0,14.99,8.0083
Bumblebee Helicopter,2017,DC Super Hero Girls,142.0,14.99,19.99
Wonder Woman Dorm Room,2017,DC Super Hero Girls,186.0,19.99,41.99
Puppy Parade,2017,Friends,145.0,14.99,16.9915
Puppy Treats & Tricks,2017,Friends,45.0,4.99,11.241
Emma's Photo Studio,2017,Friends,96.0,9.99,11.2103
Mia's Beach Scooter,2017,Friends,79.0,9.99,13.99
Olivia's Creative Lab,2017,Friends,91.0,9.99,13.0
Stephanie's Friendship Cakes,2017,Friends,94.0,9.99,28.6053
Heartlake Gift Delivery,2017,Friends,185.0,19.99,26.1221
Heartlake Sports Center,2017,Friends,328.0,39.99,37.88
Heartlake Summer Pool,2017,Friends,589.0,49.99,38.99
Stephanie's House,2017,Friends,622.0,69.99,90.0
Heartlake Surf Shop,2017,Friends,186.0,19.99,20.0
Sunshine Catamaran,2017,Friends,603.0,69.99,73.9092
Heartlake Hospital,2017,Friends,871.0,99.99,170.0
Heartlake Frozen Yogurt Shop,2017,Friends,370.0,39.99,44.472
Snow Resort Off-Roader,2017,Friends,141.0,14.99,12.5
Snow Resort Chalet,2017,Friends,402.0,39.99,57.339
Snow Resort Ski Lift,2017,Friends,585.0,59.99,80.0
Friends Advent Calendar,2017,Friends,217.0,29.99,24.0
Finn,2017,BrickHeadz,91.0,9.99,23.99
Captain Phasma,2017,BrickHeadz,127.0,9.99,37.791
Lloyd,2017,BrickHeadz,102.0,9.99,49.99
Master Wu,2017,BrickHeadz,89.0,9.99,24.6772
Batman,2017,BrickHeadz,91.0,9.99,50.0
Batgirl,2017,BrickHeadz,99.0,9.99,20.0
Robin,2017,BrickHeadz,101.0,9.99,22.4338
The Joker,2017,BrickHeadz,151.0,9.99,35.0
Captain America,2017,BrickHeadz,79.0,9.99,50.0
Iron Man,2017,BrickHeadz,96.0,9.99,45.0
Black Widow,2017,BrickHeadz,143.0,9.99,14.9559
The Hulk,2017,BrickHeadz,93.0,9.99,33.6507
Captain Jack Sparrow,2017,BrickHeadz,109.0,9.99,39.99
Captain Armando Salazar,2017,BrickHeadz,118.0,9.99,14.9559
Belle,2017,BrickHeadz,139.0,9.99,35.0
Beast,2017,BrickHeadz,116.0,9.99,12.5
Ultralight Helicopter,2017,Technic,199.0,19.99,29.95
Stunt Bike,2017,Technic,140.0,19.99,25.0
Roadwork Crew,2017,Technic,365.0,29.99,30.0
Telehandler,2017,Technic,260.0,39.99,26.1295
Container Yard,2017,Technic,631.0,59.99,99.99
BMW R 1200 GS Adventure,2017,Technic,603.0,59.99,130.0678
RC Tracked Racer,2017,Technic,370.0,99.99,135.61
Airport Rescue Vehicle,2017,Technic,1094.0,99.99,134.3804
Extreme Adventure,2017,Technic,2382.0,179.99,225.0
6x6 All Terrain Tow Truck,2017,Technic,1862.0,289.99,379.95
ATV Arrest,2017,City,47.0,6.99,5.9028
Police Starter Set,2017,City,80.0,9.99,11.99
Tow Truck Trouble,2017,City,144.0,24.99,18.5811
High-speed Chase,2017,City,294.0,39.99,29.6902
Mobile Command Center,2017,City,374.0,49.99,34.99
Bulldozer Break-In,2017,City,561.0,69.99,89.2587
Police Station,2017,City,894.0,99.99,94.99
Money Transporter,2017,City,138.0,19.99,34.83
Race Plane,2017,City,89.0,9.99,14.0
Buggy,2017,City,81.0,9.99,13.9
Stunt Truck,2017,City,91.0,9.99,24.1707
Fishing Boat,2017,City,144.0,19.99,43.0
ATV Race Team,2017,City,239.0,19.99,27.0
4x4 with Catamaran,2017,City,198.0,19.99,24.0
Pizza Van,2017,City,249.0,19.99,26.99
Dragster Transporter,2017,City,333.0,29.99,54.99
Sweeper & Excavator,2017,City,299.0,29.99,75.0
People Pack - Fun at the Beach,2017,City,169.0,39.99,48.45
Bus Station,2017,City,337.0,49.99,75.0
Jungle Buggy,2017,City,53.0,6.99,7.4656
Jungle Starter Set,2017,City,88.0,9.99,14.99
Jungle Cargo Helicopter ,2017,City,201.0,19.99,24.0
Jungle Halftrack Mission,2017,City,378.0,39.99,44.99
Jungle Mobile Lab,2017,City,426.0,59.99,64.99
Jungle Exploration Site,2017,City,813.0,119.99,130.3286
Jungle Air Drop Helicopter,2017,City,1250.0,149.99,199.99
Coast Guard Starter Set,2017,City,76.0,9.99,10.0
Sea Rescue Plane,2017,City,141.0,19.99,28.8
4 x 4 Response Unit ,2017,City,347.0,39.99,49.99
Heavy-Duty Rescue Helicopter,2017,City,415.0,59.99,75.0
Coast Guard Headquarters,2017,City,792.0,119.99,158.95
Sailboat Rescue,2017,City,195.0,29.99,40.0
Cargo Terminal,2017,City,740.0,79.99,88.55
King's Guard Artillery,2017,Nexo Knights,98.0,9.99,15.0
Ruina's Lock & Roller,2017,Nexo Knights,208.0,19.99,25.0
The Three Brothers,2017,Nexo Knights,266.0,29.99,18.0
Clay's Falcon Fighter Blaster,2017,Nexo Knights,523.0,49.99,60.1331
Jestro's Headquarters,2017,Nexo Knights,840.0,89.99,135.0
Axl's Rumble Maker,2017,Nexo Knights,393.0,39.99,74.25
Aaron's Rock Climber,2017,Nexo Knights,598.0,59.99,120.0
Knighton Castle,2017,Nexo Knights,1426.0,129.99,225.0
Lance vs. Lightning,2017,Nexo Knights,257.0,24.99,50.0
Battle Suit Macy,2017,Nexo Knights,66.0,9.99,19.99
Battle Suit Axl,2017,Nexo Knights,88.0,9.99,11.95
Battle Suit Lance,2017,Nexo Knights,83.0,9.99,20.0
Combo NEXO Powers Wave 1,2017,Nexo Knights,10.0,3.99,5.0
Spinjitzu Training,2017,The LEGO Ninjago Movie,109.0,9.99,14.6849
NINJAGO City Chase,2017,The LEGO Ninjago Movie,233.0,19.99,25.0
Master Falls,2017,The LEGO Ninjago Movie,312.0,29.99,60.0
Manta Ray Bomber,2017,The LEGO Ninjago Movie,341.0,29.99,29.99
Flying Jelly Sub,2017,The LEGO Ninjago Movie,341.0,29.99,35.0
Water Strider,2017,The LEGO Ninjago Movie,494.0,29.99,68.0
Green Ninja Mech Dragon,2017,The LEGO Ninjago Movie,544.0,49.99,101.7715
Garma Mecha Man,2017,The LEGO Ninjago Movie,747.0,59.99,130.0
Fire Mech,2017,The LEGO Ninjago Movie,944.0,69.99,115.0
Ice Tank,2017,The LEGO Ninjago Movie,914.0,79.99,229.99
Temple of the Ultimate Ultimate Weapon,2017,The LEGO Ninjago Movie,1403.0,99.99,149.99
Destiny's Bounty,2017,The LEGO Ninjago Movie,2295.0,159.99,265.0
NINJAGO City,2017,The LEGO Ninjago Movie,4867.0,299.99,825.0
The Vermillion Attack,2017,Ninjago,83.0,9.99,40.0
Desert Lightning,2017,Ninjago,201.0,19.99,50.0
Destiny's Shadow,2017,Ninjago,360.0,29.99,85.0
Vermillion Invader,2017,Ninjago,313.0,29.99,50.0
Samurai VXL,2017,Ninjago,428.0,49.99,109.95
Dawn of Iron Doom,2017,Ninjago,704.0,59.99,309.0805
Dragon's Forge,2017,Ninjago,1137.0,79.99,230.0
Piranha Attack,2017,The LEGO Ninjago Movie,217.0,19.99,24.99
Garmadon's Volcano Lair,2017,The LEGO Ninjago Movie,521.0,49.99,100.0
Quake Mech,2017,The LEGO Ninjago Movie,1202.0,89.99,147.8185
"garmadon, Garmadon, GARMADON!",2017,The LEGO Ninjago Movie,830.0,79.99,199.99
The Joker Balloon Escape,2017,The LEGO Batman Movie,124.0,14.99,23.99
Mr. Freeze Ice Attack,2017,The LEGO Batman Movie,201.0,19.99,30.0
Catwoman Catcycle Chase,2017,The LEGO Batman Movie,139.0,19.99,18.0
The Riddler Riddle Racer,2017,The LEGO Batman Movie,254.0,29.99,34.95
Clayface Splat Attack,2017,The LEGO Batman Movie,448.0,34.99,39.85
The Batmobile,2017,The LEGO Batman Movie,581.0,59.99,73.8855
The Joker Notorious Lowrider,2017,The LEGO Batman Movie,433.0,49.99,79.99
Killer Croc Tail-Gator,2017,The LEGO Batman Movie,460.0,69.99,88.0
 The Scuttler,2017,The LEGO Batman Movie,775.0,79.99,89.1
Batcave Break-In,2017,The LEGO Batman Movie,1047.0,99.99,115.0
Scarecrow Special Delivery,2017,The LEGO Batman Movie,204.0,19.99,30.3905
The Penguin Arctic Roller,2017,The LEGO Batman Movie,305.0,29.99,52.0
Arkham Asylum,2017,The LEGO Batman Movie,1628.0,149.99,235.0
Scarecrow Fearful Face-off,2017,The LEGO Batman Movie,141.0,14.99,23.75
Bane Toxic Truck Attack,2017,The LEGO Batman Movie,366.0,49.99,95.0707
Two-Face Double Demolition,2017,The LEGO Batman Movie,564.0,59.99,80.0
The Batwing,2017,The LEGO Batman Movie,1053.0,89.99,129.0
The Ultimate Batmobile,2017,The LEGO Batman Movie,1456.0,139.99,249.989
The Joker Manor,2017,The LEGO Batman Movie,3444.0,269.99,595.0
Silent Mary,2017,Pirates of the Caribbean,2294.0,199.99,400.0
Teen Titans Go! Team Pack,2017,Dimensions,105.0,24.99,69.95
The LEGO Batman Movie: Play the Complete Movie,2017,Dimensions,156.0,44.99,35.0
Chase McCain Fun Pack,2017,Dimensions,46.0,14.99,39.0
The Goonies Level Pack,2017,Dimensions,118.0,29.99,17.99
Knight Rider Fun Pack,2017,Dimensions,55.0,14.99,25.99
Starfire Fun Pack,2017,Dimensions,56.0,14.99,14.99
Buttercup Fun Pack,2017,Dimensions,56.0,14.99,8.0
Excalibur Batman Fun Pack,2017,Dimensions,57.0,14.99,18.4369
The Powerpuff Girls Team Pack,2017,Dimensions,93.0,24.99,14.0
Hermione Granger Fun Pack,2017,Dimensions,64.0,14.99,11.0
Beetlejuice Fun Pack,2017,Dimensions,56.0,14.99,35.0
Snowspeeder,2017,Star Wars,1703.0,199.99,495.0
U-wing Microfighter,2017,Star Wars,109.0,9.99,15.0
TIE Striker Microfighter,2017,Star Wars,88.0,9.99,12.93
Y-wing Microfighter,2017,Star Wars,90.0,9.99,29.95
Krennic's Imperial Shuttle Microfighter,2017,Star Wars,78.0,9.99,15.0
Rebel Trooper Battle Pack,2017,Star Wars,120.0,14.99,37.8
Imperial Trooper Battle Pack,2017,Star Wars,112.0,14.99,60.0
First Order Transport Speeder Battle Pack,2017,Star Wars,117.0,14.99,25.0
Bounty Hunter Speeder Bike Battle Pack,2017,Star Wars,125.0,14.99,45.0
Yoda's Jedi Starfighter,2017,Star Wars,262.0,24.99,50.0
Duel on Naboo,2017,Star Wars,208.0,24.99,129.99
The Phantom,2017,Star Wars,269.0,29.99,329.99
Battle on Scarif,2017,Star Wars,419.0,49.99,175.0
Y-wing Starfighter,2017,Star Wars,691.0,59.99,133.0412
Luke's Landspeeder,2017,Star Wars,149.0,19.99,27.5
Desert Skiff Escape,2017,Star Wars,277.0,29.99,100.0
A-wing Starfighter,2017,Star Wars,358.0,39.99,121.5
Resistance Transport Pod,2017,Star Wars,294.0,29.99,30.0
First Order Heavy Scout Walker,2017,Star Wars,554.0,49.99,47.9837
Jakku Quadjumper,2017,Star Wars,457.0,49.99,70.0
Kylo Ren's TIE Fighter,2017,Star Wars,630.0,79.99,190.0
Rathtar Escape,2017,Star Wars,836.0,79.99,63.96
Republic Fighter Tank,2017,Star Wars,305.0,24.99,120.0
Darth Vader Transformation ,2017,Star Wars,282.0,24.99,64.95
Star Wars Advent Calendar,2017,Star Wars,309.0,39.99,50.0
Tracker I,2017,Star Wars,557.0,69.99,100.0
The Arrowhead,2017,Star Wars,775.0,89.99,135.0
BB-8,2017,Star Wars,1106.0,99.99,155.0
Resistance Bomber (Standard pilot version),2017,Star Wars,778.0,109.99,190.0
First Order Heavy Assault Walker,2017,Star Wars,1376.0,149.99,185.3
First Order Star Destroyer,2017,Star Wars,1416.0,159.99,220.0
Jedi Starfighter with Hyperdrive,2017,Star Wars,825.0,99.99,400.0
Millennium Falcon,2017,Star Wars,7541.0,849.99,700.0
Scarif Stormtrooper,2017,Star Wars,89.0,24.99,37.0
Chirrut Îmwe,2017,Star Wars,87.0,24.99,13.6844
Baze Malbus,2017,Star Wars,148.0,24.99,10.0
Elite TIE Fighter Pilot,2017,Star Wars,94.0,19.99,27.0
Rey,2017,Star Wars,85.0,24.99,17.95
Elite Praetorian Guard,2017,Star Wars,92.0,24.99,53.99
Chewbacca,2017,Star Wars,179.0,34.99,40.7277
Downtown Diner,2018,Creator Expert,2480.0,169.99,330.3709
Roller Coaster,2018,Creator Expert,4124.0,379.99,383.6797
James Bond Aston Martin DB5,2018,Creator Expert,1290.0,149.99,184.7063
Winter Village Fire Station,2018,Creator Expert,1166.0,99.99,166.99
Vestas Wind Turbine,2018,Creator Expert,826.0,199.99,222.1783
Rainbow Fun,2018,Classic,85.0,4.99,7.6
Fun Future,2018,Classic,186.0,9.99,10.0
Bricks and Gears,2018,Classic,244.0,19.99,25.0
Blue Baseplate,2018,Classic,1.0,7.99,7.75
Bricks Bricks Bricks,2018,Classic,1500.0,59.99,63.99
Road Repair Truck,2018,Juniors,73.0,9.99,13.64
The Joker Batcave Attack,2018,Juniors,151.0,24.99,18.0
Spider-Man vs. Scorpion Street Showdown,2018,Juniors,125.0,19.99,40.0
Pteranodon Escape,2018,Juniors,84.0,19.99,20.0
Raptor Rescue Truck,2018,Juniors,85.0,24.99,23.6961
T. Rex Breakout,2018,Juniors,150.0,49.99,59.99
Elastigirl's Rooftop Pursuit,2018,Juniors,95.0,19.99,28.88
Underminer Bank Heist,2018,Juniors,149.0,24.99,50.0
The Great Home Escape,2018,Juniors,178.0,29.99,73.0
Belle's Story Time,2018,Juniors,87.0,14.99,17.0
Stephanie's Lakeside House,2018,Juniors,215.0,34.99,21.348
Ariel's Underwater Concert,2018,Juniors,92.0,14.99,19.99
My First Race Car,2018,Duplo,6.0,4.99,4.0
Airport,2018,Duplo,29.0,24.99,23.99
Minnie's Birthday Party,2018,Duplo,21.0,19.99,23.99
Steam Train,2018,Duplo,59.0,64.99,71.98
Spider-Man & Hulk Adventures,2018,Duplo,38.0,29.99,44.991
Belle's Tea Party,2018,Duplo,19.0,19.99,27.0
Gentle Giants Petting Zoo,2018,Duplo,24.0,19.99,27.95
T. rex Tower,2018,Duplo,22.0,29.99,44.95
Mickey's Boat,2018,Duplo,28.0,29.99,35.0
Shanghai,2018,Architecture,597.0,59.99,75.0
Great Wall of China,2018,Architecture,551.0,49.99,79.97
Statue of Liberty,2018,Architecture,1685.0,119.99,93.2974
Las Vegas,2018,Architecture,501.0,39.99,79.95
The Melon Farm,2018,Minecraft,69.0,14.99,25.99
The Nether Fight,2018,Minecraft,84.0,14.99,35.0
The Chicken Coop,2018,Minecraft,198.0,19.99,36.8737
The Zombie Cave,2018,Minecraft,241.0,19.99,34.392
The Polar Igloo,2018,Minecraft,278.0,29.99,7.5
The Nether Portal,2018,Minecraft,470.0,39.99,64.9935
The Skull Arena,2018,Minecraft,198.0,19.99,34.44
The Skeleton Attack,2018,Minecraft,457.0,39.99,99.0
The Bedrock Adventures,2018,Minecraft,644.0,89.99,110.137
Voltron,2018,Ideas,2321.0,179.99,375.0
Ship in a Bottle,2018,Ideas,962.0,69.99,97.9575
TRON: Legacy,2018,Ideas,230.0,34.99,74.99
Pop-Up Book,2018,Ideas,859.0,69.99,60.0
Road Worker,2018,City,58.0,3.99,6.7328
Police Water Plane,2018,City,48.0,3.99,3.6679
Arctic Ice Saw,2018,City,43.0,3.99,6.0
Baby Velociraptor Playpen,2018,Jurassic World,48.0,3.99,6.0
Olivia's Remote Control Boat,2018,Friends,25.0,3.99,2.0
Unikitty Roller Coaster Wagon,2018,Unikitty,46.0,3.99,2.99
Royal Talon Fighter,2018,Marvel Super Heroes,59.0,3.99,3.3697
The Guardians' Ship,2018,Marvel Super Heroes,69.0,3.99,5.5
Animal Free Builds - Make It Yours,2018,Miscellaneous,10.0,1.99,3.4
Cute Pug,2018,Creator,68.0,3.99,15.0
Drone Explorer,2018,Creator,109.0,9.99,10.0
Extreme Engines,2018,Creator,109.0,9.99,9.0
Mythical Creatures,2018,Creator,223.0,14.99,19.99
Rocket Rally Car,2018,Creator,241.0,19.99,20.0
Outback Adventures,2018,Creator,225.0,19.99,20.7341
Daredevil Stunt Plane,2018,Creator,200.0,19.99,24.0
Modular Sweet Surprises,2018,Creator,396.0,39.99,37.99
Tree House Treasures ,2018,Creator,260.0,29.99,37.0831
Sunshine Surfer Van,2018,Creator,379.0,34.99,49.99
Modular Winter Vacation,2018,Creator,374.0,34.99,40.0
Modular Skate House,2018,Creator,422.0,39.99,55.0
Cruising Adventures,2018,Creator,597.0,59.99,40.0
Pirate Roller Coaster,2018,Creator,923.0,89.99,139.0
Mobile Stunt Show,2018,Creator,581.0,49.99,59.99
Flower Display,2018,Seasonal,100.0,5.99,17.99
Pencil Pot,2018,Miscellaneous,187.0,12.99,18.2311
Wedding Favour Set 2018,2018,Miscellaneous,132.0,9.99,47.99
LEGO Ludo Game,2018,Miscellaneous,389.0,39.99,33.657
Valentine's Bee,2018,BrickHeadz,140.0,9.99,17.99
Easter Bunny,2018,BrickHeadz,126.0,9.99,14.0
Halloween Witch,2018,BrickHeadz,151.0,9.99,19.99
Thanksgiving Turkey,2018,BrickHeadz,114.0,9.99,20.0
Mr. & Mrs. Claus,2018,BrickHeadz,341.0,19.99,25.0
LEGO Brand Retail Store,2018,Promotional,362.0,24.99,37.0831
Castle Interior Kit,2018,Disney,115.0,9.99,3.99
Food Accessories,2018,Xtra,30.0,3.99,4.9
Botanical Accessories,2018,Xtra,24.0,3.99,5.99
Traffic Lights,2018,Xtra,46.0,3.99,5.95
Streetlamps,2018,Xtra,34.0,3.99,6.0
Bicycles,2018,Xtra,21.0,3.99,5.49
Mini-Doll Dress-Up Kit,2018,Disney,80.0,9.99,8.31
Sleeping Beauty's Fairytale Castle,2018,Disney,322.0,39.99,69.223
Ariel's Royal Celebration Boat,2018,Disney,380.0,49.99,45.0
Elsa's Market Adventure,2018,Disney,125.0,19.99,13.49
Rapunzel's Castle Bedroom,2018,Disney,156.0,19.99,30.0
Rapunzel's Travelling Caravan,2018,Disney,323.0,39.99,35.99
Emily Jones & The Eagle Getaway,2018,Elves,149.0,14.99,16.4243
Naida & The Water Turtle Ambush,2018,Elves,205.0,19.99,59.99
Azari & The Fire Lion Capture,2018,Elves,360.0,29.99,60.0
Aira & the Song of the Wind Dragon,2018,Elves,451.0,39.99,110.0
Noctura's Tower & the Earth Fox Rescue ,2018,Elves,646.0,59.99,143.8106
Emily & Noctura's Showdown,2018,Elves,650.0,49.99,129.0
The Elvenstar Tree Bat Attack,2018,Elves,883.0,79.99,150.0
Bubbles' Playground Showdown,2018,The Powerpuff Girls,144.0,19.99,19.35
Mojo Jojo Strikes,2018,The Powerpuff Girls,228.0,29.99,45.0
Stephanie's Bedroom,2018,Friends,95.0,9.99,14.0
Stephanie's Soccer Practice,2018,Friends,119.0,14.99,15.0
Emma's Art Stand,2018,Friends,210.0,19.99,25.0
Olivia's Mission Vehicle,2018,Friends,223.0,19.99,25.0
Mia's Tree House,2018,Friends,351.0,29.99,32.0
Stephanie's Sports Arena,2018,Friends,460.0,44.99,25.0
Friendship House,2018,Friends,722.0,69.99,135.0
Andrea's Accessories Store,2018,Friends,294.0,29.99,24.0
Friendship Box,2018,Friends,563.0,49.99,17.5
Service & Care Truck,2018,Friends,247.0,19.99,17.95
Drifting Diner,2018,Friends,345.0,29.99,40.0
Spinning Brushes Car Wash,2018,Friends,325.0,29.99,31.493
Creative Tuning Shop,2018,Friends,413.0,39.99,29.7
The Big Race Day,2018,Friends,648.0,59.99,43.8514
Friends Advent Calendar,2018,Friends,500.0,29.99,24.95
Unikitty Cloud Car,2018,Unikitty,126.0,9.99,8.0
Prince Puppycorn Trike,2018,Unikitty,101.0,9.99,5.0
Party Time,2018,Unikitty,214.0,19.99,9.0
Dr. Fox Laboratory,2018,Unikitty,359.0,29.99,25.0
Unikingdom Creative Brick Box,2018,Unikitty,433.0,39.99,59.95
Unikingdom Fairground Fun,2018,Unikitty,515.0,39.99,75.0
Go Brick Me,2018,BrickHeadz,708.0,29.99,56.0699
The Flash,2018,BrickHeadz,122.0,9.99,29.99
Wonder Woman,2018,BrickHeadz,143.0,9.99,33.99
Aquaman,2018,BrickHeadz,135.0,9.99,16.4515
Cyborg,2018,BrickHeadz,108.0,9.99,14.25
Rey,2018,BrickHeadz,119.0,9.99,13.3168
Kylo Ren,2018,BrickHeadz,130.0,9.99,18.42
Iron Man MK50,2018,BrickHeadz,101.0,9.99,37.3897
Thanos,2018,BrickHeadz,105.0,9.99,36.5
Star-Lord,2018,BrickHeadz,113.0,9.99,24.7
Gamora,2018,BrickHeadz,136.0,9.99,17.1
Han Solo,2018,BrickHeadz,141.0,9.99,19.85
Chewbacca,2018,BrickHeadz,149.0,9.99,26.1653
Tactical Batman & Superman,2018,BrickHeadz,209.0,19.99,96.99
Marty McFly & Doc Brown,2018,BrickHeadz,240.0,19.99,70.0
Steve & Creeper,2018,BrickHeadz,160.0,19.99,99.99
Mr. Incredible & Frozone,2018,BrickHeadz,160.0,19.99,45.0
Owen & Blue,2018,BrickHeadz,234.0,19.99,30.99
Harry Potter & Hedwig,2018,BrickHeadz,180.0,14.99,59.8089
Hermione Granger,2018,BrickHeadz,127.0,9.99,39.99
Elsa,2018,BrickHeadz,130.0,9.99,39.99
Anna & Olaf,2018,BrickHeadz,201.0,14.99,69.99
Darth Vader,2018,BrickHeadz,104.0,9.99,29.99
Stormtrooper,2018,BrickHeadz,124.0,9.99,48.95
Ron Weasley & Albus Dumbledore,2018,BrickHeadz,245.0,19.99,64.99
Peter Venkman & Slimer,2018,BrickHeadz,228.0,19.99,71.104
Ariel & Ursula,2018,BrickHeadz,361.0,19.99,129.99
Mickey Mouse,2018,BrickHeadz,109.0,9.99,91.8299
Minnie Mouse,2018,BrickHeadz,129.0,9.99,99.99
Groot & Rocket,2018,BrickHeadz,189.0,14.99,85.0
Luke Skywalker & Yoda,2018,BrickHeadz,215.0,14.99,70.0
Princess Leia Organa,2018,BrickHeadz,124.0,9.99,48.95
Boba Fett,2018,BrickHeadz,161.0,9.99,60.0
Jack Skellington & Sally,2018,BrickHeadz,193.0,19.99,119.99
Newt Scamander & Gellert Grindelwald,2018,BrickHeadz,247.0,19.99,40.0
Homer Simpson & Krusty the Clown,2018,BrickHeadz,215.0,19.99,99.99
Dozer Compactor,2018,Technic,171.0,19.99,15.0
BASH!,2018,Technic,139.0,19.99,27.95
Racing Yacht,2018,Technic,330.0,39.99,45.0
Rally Car,2018,Technic,1005.0,109.99,110.0
Mack Anthem,2018,Technic,2595.0,179.99,349.99
Forest Harvester,2018,Technic,1003.0,149.99,165.0
Volvo Concept Wheel Loader ZEUX,2018,Technic,1167.0,139.99,124.1153
Rough Terrain Crane,2018,Technic,4057.0,299.99,373.3868
Bugatti Chiron,2018,Technic,3599.0,349.99,350.0
Hook Loader,2018,Technic,176.0,14.99,14.95
Off-Road Chase,2018,City,37.0,6.99,8.9587
Mountain Fugitives,2018,City,88.0,9.99,8.99
Dirt Road Pursuit,2018,City,297.0,39.99,35.991
Mountain Arrest,2018,City,303.0,59.99,59.8232
Mountain Police Headquarters,2018,City,663.0,89.99,112.1684
Mountain River Heist,2018,City,387.0,49.99,56.4223
Wild River Escape,2018,City,126.0,19.99,17.9469
Airshow Jet,2018,City,87.0,9.99,12.74
Speed Record Car,2018,City,78.0,9.99,9.0
Ambulance Helicopter,2018,City,190.0,19.99,26.1726
Forest Tractor,2018,City,174.0,19.99,24.95
Pickup & Caravan,2018,City,344.0,29.99,44.0548
Heavy Cargo Transport,2018,City,310.0,29.99,31.5
Mining Team,2018,City,82.0,9.99,14.9559
